word,times,recordings,suggestion,type,example (recording),example context
scavolo,1,1,,"check: unusual word, term or non-English",salon-082," were shot by a photographer named Francesco Scavolo. And I show them, too, because they, the wom"
scarecity,1,1,scarcity | scare city | scare-city,likely misspelling / mishearing,salon-096,"t cosmic concert of the year. She arrives in scarecity, joins an East village band, but finds a met"
sayed,1,1,said | saved | stayed,"check: unusual word, term or non-English",salon-050,"l ceiling. This artwork was actually done by Sayed Elavi, who contacted me through my glass wor"
sawise,1,1,saws,likely misspelling / mishearing,salon-057,iant dreams I saw Educator NASA buy plants I sawISE exists why I wanna stay away from bagels yea
savoir,1,1,savior | savor,likely misspelling / mishearing,salon-092,Valorizet UN proven plus savoir Si problematic.  Tink.  Hi.
savannahs,1,1,Savannah's | Savannah | savanna's,likely misspelling / mishearing,salon-085,cause it The landscape was so similar to the savannahs in Africa. And here we have again on the bri
sauron,1,1,Sauron | saurian,likely misspelling / mishearing,salon-024,n the middle kind of looks like a the eye of sauron from the those ring movies so effect it's on
saul,1,1,Saul | Paul | soul,likely misspelling / mishearing,salon-095,aren't making those connections between like Saul Whitt you know where he's giving instruction
sas,1,1,was | saw | sad,"check: unusual word, term or non-English",salon-011, doing something kind of unusual. So we're a SAS based business that services a software. It'
sartre's,1,1,Sartre's,likely misspelling / mishearing,salon-063," English, we know this is no exit. Jean-Paul Sartre's famous work. I based that here with quantum "
sarsen,1,1,Larsen | Saracen,likely misspelling / mishearing,presentation-003,"  Seven artists, including 20-year-old Aygul Sarsen, who grew up in a town in the former seabed,"
sars-cov,1,1,,"check: unusual word, term or non-English",salon-102,"zation, to the research the lab was doing on SARS-CoV-2 at the onset of the COVID pandemic. And in"
sarrell,1,1,Darrell | Farrell | Harrell,likely misspelling / mishearing,salon-074,is piece is kind of really inspired by James Sarrell and I was researching his works a lot and wa
sarnoff,1,1,Sarnoff | sarong,likely misspelling / mishearing,interview-024,", as I said to Suzanne. But I remember David Sarnoff back in the 1930s at the dawn of television."
sarkowski's,1,1,,"check: unusual word, term or non-English",salon-061,"age, which is mirrors and windows after John Sarkowski's exhibition at the Museum of Modern Art in 19"
saraceno,1,1,Saracen | saracens | saracen,likely misspelling / mishearing,salon-020,oh we got one from Tommy have you seen Tomas Saraceno oh wait are they in Manhattan are they built
sappho's,1,1,Sapporo's | sap's,likely misspelling / mishearing,interview-028,"some of the ancient Greek writers, and loved Sappho's fragments. And that's a body of work that I'"
sao,1,1,say | saw | sad,"check: unusual word, term or non-English",salon-093,day and that's like to go through them. Yuka Sao is the curator for the 150 Media Stream proj
santini,1,1,suntan | Santino,"check: unusual word, term or non-English",interview-019," from Kala Bhavana Vishwa Bharti University, Santini Kanatan. During her time at Kala Bhavana, sh"
santhea,1,1,Santa,likely misspelling / mishearing,salon-023,"mment from Malavika. She says, amazing work, Santhea. Love the texture and freshness of the color"
sanna,1,1,wanna | San | Anna,likely misspelling / mishearing,salon-042,"e final piece in the bottom right is Alessio Sanna, Geometric Tales, Digital Art from Italy, cr"
sanjin,1,1,sanguine | sanjib,"check: unusual word, term or non-English",salon-042,", Susan Wong, Nina Sobell, Dana Jones, N3T4, Sanjin Lee, Cynthia DiDonato, Reese Schroeder, Sara"
sanibel,1,1,snail | senile | snaffle,"check: unusual word, term or non-English",salon-027,"connected we are. I would spend Januaries in Sanibel.  And of course, I would work on photographi"
sani,1,1,San | sane | sand,likely misspelling / mishearing,salon-086,Czech Republic thank you under that is Oleso Sani I believe yes and under that is oh geez Elio
sandusky,1,1,Sandusky,likely misspelling / mishearing,salon-068,ack then in the 90s was a woman named Sharon Sandusky. And it's called Towards an Appreciation of 
sandpiece,1,1,sand piece | sand-piece,likely misspelling / mishearing,salon-102,lls you into the brackish lagoon of my black sandpiece. I bite into your fine insects and watch you
samu,1,1,same | Sam | sam,"check: unusual word, term or non-English",salon-024," Now when I met this lady, her name is Kusum Samu.  I asked her, have you experienced about me"
samsung,1,1,Samsung | Samson | Samsun,likely misspelling / mishearing,salon-053,nt because there'll be other competitors but samsung has a new technology called the wall they're
sami,1,1,same | Sami | semi,"check: unusual word, term or non-English",salon-065,"ut, you know, eventually. Thank you so much, Sami. All right. Does anyone have any questions? "
samaricand,1,1,,"check: unusual word, term or non-English",presentation-006,ries of small prints. They are on exhibit at Samaricand Art Station and were previously exhibited at
samarakind,1,1,samara kind | samara-kind,likely misspelling / mishearing,presentation-004,"en was part of the exhibition in Urgench and Samarakind. The director of the museum, Shirin Tashova,"
saloms,1,1,Salome | salons | salon's,likely misspelling / mishearing,salon-096,"think that's 1 of the great things about the Saloms is, you can make connections with people fro"
salley,1,1,Sally | valley | sally,likely misspelling / mishearing,salon-071,"anguage. And I thought, wow, you know, David Salley is telling me this. This is pretty cool, you"
salivan,1,1,saliva | salvia | Salian,likely misspelling / mishearing,salon-079, in at the moment. Is kind of like the Jason salivan sort of like amalgamation. So I carry that o
saleh,1,1,sales | Salem | sale,likely misspelling / mishearing,salon-100,"f the photographs were present, and Khodorov Saleh, a Uzbek artist, is standing in front of his"
saleable,1,1,scaleable | salable | salvable,likely misspelling / mishearing,interview-013,ance it's like no I still have a interesting saleable hangable piece yeah so this was me using thr
salamone,1,1,salmon,likely misspelling / mishearing,salon-036,"cipants, artists, also, she, name is, Nicole Salamone, she, is based on, like, metamodalism concep"
salam,1,1,Salam | salad | salami,likely misspelling / mishearing,salon-077,"Is. Is there? Is there any way to end the Salam. You know, and then start back up again and "
salahi,1,1,salami | Sarahi,likely misspelling / mishearing,salon-035,And I worked in the influence is. Ibrahim el Salahi. Who is a Sudanese artist who I love his wor
sala,1,1,salt | sale | salad,"check: unusual word, term or non-English",salon-088,ur. Who presented just now and Dhruv is from Sala Villa Academy Bangalore. Am I right? Correct
sakne,1,1,sane | sake | sank,likely misspelling / mishearing,salon-090,ist. When she died on November 14th of Larry Sakne. She was 100 years old when she died.  This 
sakagura,1,1,,"check: unusual word, term or non-English",interview-014,"My first show was in, I think, Sakagura? No, where? It wasn't Tokyo. And I'm forgett"
sahara,1,1,Sahara | Samara | Shara,likely misspelling / mishearing,salon-077,"very quickly. So that should save sometime.  Sahara, we able to answer all of your questions. Ye"
sagrada,1,1,Sigrid,"check: unusual word, term or non-English",salon-064,toni Gaudi.  And the name of the place is La Sagrada Femia. And here I'm zooming in a little bit.
sagetovic,1,1,,"check: unusual word, term or non-English",salon-059,a great reel that came out from... Isa was a Sagetovic from Hyperallergic. And I think it just says
saferight,1,1,safe right | safelight | safe-right,likely misspelling / mishearing,salon-057,k out of nowhere that she doesn't feel quite saferight now going through her suffering right now wh
saddlemire,1,1,saddle mire | saddle-mire,likely misspelling / mishearing,salon-046,"as etched into a piece of slate. Was that in Saddlemire? Yeah, yeah, yeah."
sachs,1,1,sacks | sates | sac's,likely misspelling / mishearing,salon-065,the most ludicrous thing. And the ex Goldman Sachs CEO just was on the news lately. And he also
sachenhausen,1,1,,"check: unusual word, term or non-English",salon-010,"d Germany of students and I took students to Sachenhausen, which was a German Nazi work camp in outsid"
saberiana,1,1,Siberian,likely misspelling / mishearing,salon-082,"ing the objects into a scene like we did for Saberiana. And then I would go into my scene, or I had"
saadiyat,1,1,,"check: unusual word, term or non-English",salon-037,ece is this was a piece I did for Monorot Al Saadiyat called World Without End. And basically it w
ryerson,1,1,,"check: unusual word, term or non-English",salon-015,access to the Black Star photo collection at Ryerson University and I went into the background of
ryb,1,1,rub | rob | rib,"check: unusual word, term or non-English",salon-022,"ent, they use the CMY compared to the RGB or RYB more commonly learned. So there's a lot of j"
rv,1,1,rev,likely misspelling / mishearing,salon-084," where I Trigger. I. I aim my phone with the Rv app on, and I get not only images that move,"
ruthel,1,1,ruthless,"check: unusual word, term or non-English",interview-028," beautiful book by. I think her name is Mary Ruthel called Oh, gosh! I'm gonna forget the name. "
russo-sarkazian,1,1,,"check: unusual word, term or non-English",salon-058,d suffered a lot of extermination during the Russo-Sarkazian War. So there's 100 years of that war going 
russianism,1,2,Russians,likely misspelling / mishearing,salon-088,"erwards. So this will be posted on the text. Russianism site, I would say. Probably by the end of th"
russell,1,1,Russell | Russel,likely misspelling / mishearing,interview-021,ler would call it. And this a friend of mine Russell true. He built this out of toothpicks which 
rusavi,1,1,reserve,"check: unusual word, term or non-English",salon-085,"So Hi, everyone, I'm Sam Rusavi. I'm based in Iran. I'm zooming from Giram P"
rures,1,1,rules | cures | lures,likely misspelling / mishearing,salon-097,iting and online editing and easy detailed görures like village maps for example.  There were f
